1542	1579	1586	1587
1541	1578	1586	1587
1540	1577	1585	1587
1539	1577	1585	1587
1538	1576	1584	1587
1537	1575	1584	1587
1535	1575	1584	1587
1534	1574	1583	1587
1533	1573	1583	1587
1532	1573	1582	1587
1530	1572	1582	1587
1529	1571	1582	1587
1528	1570	1581	1586
1526	1570	1581	1586
1525	1569	1580	1586
1523	1569	1580	1585
1522	1568	1579	1585
1521	1568	1579	1585
1519	1567	1578	1584
1518	1567	1578	1584
1517	1566	1578	1583
1515	1565	1577	1583
1514	1565	1577	1583
1512	1564	1576	1583
1511	1564	1576	1582
1510	1563	1575	1582
1509	1563	1574	1582
1507	1562	1574	1581
1505	1562	1573	1581
1503	1561	1572	1581
1500	1560	1572	1580
1498	1560	1571	1580
1496	1559	1570	1580
1494	1558	1570	1579
1491	1558	1569	1579
1490	1557	1569	1579
1488	1556	1568	1578
1486	1555	1568	1578
1484	1555	1567	1578
1483	1554	1566	1577
1481	1553	1566	1577
1479	1553	1565	1577
1477	1552	1565	1576
1476	1551	1564	1576
1474	1551	1564	1575
1472	1550	1563	1575
1471	1549	1563	1574
1469	1549	1562	1574
1467	1548	1562	1574
1465	1547	1562	1574
1465	1546	1562	1574
1464	1546	1562	1573
1463	1545	1562	1573
1462	1545	1562	1573
1461	1544	1562	1573
1460	1543	1562	1572
1459	1543	1561	1572
1459	1542	1561	1572
1458	1542	1561	1571
1457	1541	1560	1571
1456	1540	1560	1571
1455	1540	1560	1570
1454	1539	1559	1570
1453	1538	1559	1569
1452	1538	1559	1569
1452	1537	1558	1569
1452	1536	1558	1568
1451	1536	1557	1568
1451	1535	1557	1568
1451	1534	1557	1567
1450	1534	1556	1567
1450	1533	1556	1567
1450	1533	1555	1566
1449	1532	1555	1566
1449	1531	1554	1566
1449	1531	1554	1565
1448	1530	1553	1565
1448	1530	1553	1565
1448	1529	1552	1564
1447	1528	1552	1564
1447	1528	1551	1564
1447	1527	1551	1563
1447	1526	1550	1563
1446	1526	1549	1562
1446	1526	1549	1562
1446	1525	1548	1561
1445	1525	1547	1561
1445	1524	1546	1560
1445	1524	1546	1559
1444	1523	1545	1559
1444	1523	1544	1558
1444	1522	1543	1557
1443	1522	1543	1557
1443	1521	1542	1556
1443	1521	1541	1556
1442	1520	1541	1555
1442	1519	1540	1555
1442	1519	1539	1554
1441	1518	1538	1553
1441	1517	1538	1553
1441	1517	1538	1552
1440	1516	1537	1551
1440	1515	1537	1551
1440	1515	1536	1550
1439	1514	1536	1549
1439	1513	1535	1549
1439	1513	1535	1549
1438	1512	1534	1548
1438	1511	1534	1548
1438	1511	1533	1547
1437	1510	1532	1547
1437	1510	1532	1546
1437	1509	1532	1546
1436	1509	1531	1545
1436	1508	1531	1545
1435	1508	1531	1544
1435	1507	1530	1544
1435	1506	1530	1543
1434	1506	1529	1543
1434	1505	1529	1542
1433	1505	1529	1542
1433	1504	1528	1541
1432	1504	1528	1541
1432	1503	1527	1540
1431	1502	1527	1539
1431	1502	1527	1539
1430	1501	1527	1539
1430	1500	1527	1539
1429	1499	1527	1538
1429	1498	1526	1538
1428	1498	1526	1538
1428	1497	1526	1537
1427	1496	1526	1537
1427	1495	1526	1537
1426	1494	1525	1537
1426	1493	1525	1536
1425	1493	1525	1536
1425	1492	1525	1536
1424	1491	1524	1535
1424	1490	1524	1535
1423	1490	1524	1535
1423	1489	1524	1535
1422	1488	1524	1535
1421	1487	1524	1535
1421	1487	1524	1535
1420	1486	1524	1535
1419	1485	1524	1534
1418	1484	1523	1534
1417	1483	1523	1534
1417	1482	1523	1534
1416	1481	1523	1534
1415	1480	1523	1534
1414	1479	1523	1534
1413	1478	1523	1534
1413	1477	1523	1534
1412	1476	1523	1534
1411	1475	1523	1534
1410	1474	1522	1534
1409	1473	1522	1534
1408	1472	1522	1534
1407	1471	1522	1534
1406	1470	1522	1534
1405	1470	1522	1534
1404	1469	1522	1534
1403	1468	1522	1534
1403	1467	1522	1534
1402	1466	1522	1534
1402	1466	1522	1534
1401	1465	1522	1534
1401	1465	1521	1533
1400	1464	1521	1533
1400	1464	1521	1533
1399	1463	1521	1533
1398	1463	1520	1532
1398	1462	1520	1532
1397	1462	1520	1532
1396	1461	1520	1532
1395	1461	1519	1532
1395	1460	1519	1532
1394	1459	1519	1531
1393	1459	1518	1531
1392	1458	1518	1531
1392	1458	1518	1530
1391	1457	1517	1530
1391	1456	1517	1530
1390	1456	1516	1529
1389	1455	1516	1529
1388	1455	1515	1529
1387	1454	1515	1529
1386	1453	1514	1528
1385	1453	1514	1528
1384	1452	1513	1528
1383	1451	1513	1528
1382	1451	1512	1527
1381	1450	1512	1527
1380	1449	1511	1527
1379	1449	1511	1527
1378	1448	1510	1526
1377	1447	1510	1526
1377	1393	1447	1509
1235	1260	1266	1271
1233	1294	1451	1474
1231	1293	1450	1474
1228	1292	1449	1473
1226	1291	1449	1472
1224	1290	1448	1471
1222	1288	1447	1471
1220	1286	1447	1470
1219	1252	1270	1284
1218	1243	1260	1469
1216	1241	1444	1468
1215	1240	1444	1467
1214	1238	1443	1467
1212	1237	1442	1466
1211	1235	1441	1465
1209	1233	1441	1464
1207	1232	1440	1464
1205	1231	1439	1463
1204	1230	1438	1462
1203	1229	1231	1437
1202	1234	1436	1460
1201	1236	1435	1459
1200	1239	1434	1458
1199	1242	1433	1458
1197	1245	1432	1457
1196	1248	1432	1456
1179	1189	1281	1353
1180	1188	1283	1423
1180	1188	1285	1420
1180	1187	1287	1417
1180	1186	1291	1414
1180	1186	1295	1410
1180	1185	1301	1406
1180	1185	1306	1402
1180	1184	1311	1389
1180	1183	1315	1383
1180	1183	1325	1377
1180	1182	1335	1360
